from,number_of_transactions,standard_deviation,period,number_of_blocks,value
0x1cA818817A654C8665398d92b94EE8F23997eCcf,136,0.8984743935292003,1.380952380952381,21,5.01e+20
0x1ca91e96E30ccE2e7Ea2f681F0Ca1DC424DDA751,61,2.341585785905975,3.5319148936170213,47,6.565187433068868e+19
0x1cf6a23786A0c6d4191314A0e87D2d96884862BE,93,1.5331639559995962,2.269230769230769,26,1.001e+21
0x1dAE8aaF7F89699d4c3126c5541B76e1969bcd90,202,2.4968838710969212,2.0294117647058822,68,2.4251405652963553e+19
0x1e0894555bFAd21EC4eE8049a5bBDd4b903212EB,117,1.7365073533812652,2.8620689655172415,116,0
0x1ee51f0b84b99090Bb2c3ae554E9c8f55f228110,175,0.8498365855987975,1.3333333333333333,24,1.01e+20
0x1f36f449c4A6a49a0359Df4b49eDE86707e79aA8,207,1.6448131279636364,2.189655172413793,58,1.01e+20
0x212fAAF44e657B2d6eB4c4f6C43B34A517f44E82,184,1.7664653973401234,1.86,50,1.4305601385e+19
0x22385f8f6eeB0D0dDe5eA07490eAA33E5E144fD9,160,2.2208328990340758,1.8888888888888888,72,1.01e+20
0x228E5a639c4F7578C711937525573BE0cb106c55,217,1.68949696655543,2.16,25,1.01e+20
0x230B9553e6FCAE9f976d6a6aFb543c679F33D365,278,1.5652475842498528,1.5,20,1.51e+20
0x23439323DFedBbD72982b8a6b536465195F60389,314,1.5248176515647422,1.9090909090909092,33,1.01e+20
0x2404D30ED92a813879d5C2215Dedf2d87C84954E,78,2.2474724054578235,4.054054054054054,74,6.24e+15
0x249Fb9c0A00741F6492AaEE809c99ec356122168,54,0.714142842854285,1.3,20,1.01e+20
0x24C7956015d128d38e3fcC21C8FEe1895A477F79,117,0.9173875952943773,1.72,25,1.01e+20
0x252E5d2E573340e1B96B6a2B8c2E27EdD68b53a3,272,1.1624494783175154,2.4243542435424352,271,2.5212974943947304e+21
0x257415866fA1E2C4D6FD7340F73e6FadC9F49d01,245,1.44,2.08,25,1.25e+20
0x25DB8f37713bBad128eCc198eC38C90dBf4C0910,112,2.301629857296781,2.05,40,1.01e+20
0x261269430Ad4C2190dCC837AcF8D69D7F550f8Ed,55,2.633619261249268,2.8636363636363638,22,1.01e+20
0x263a260618c6bdF2c90ac06BAEB626795a21De64,278,2.53071864536613,2.1739130434782608,23,1.01e+20
0x26640CAb0585Eefc39a3fB494ceE7c05E100a06a,83,2.5783568169344844,3.6176470588235294,34,6.972e+17
0x26e351ec0b7f2e754d255b37012f0c139bfa9200,134,1.9861012909592852,2.0526315789473686,19,1.01e+20
0x26eF3Fb0Df38656e0Ac868eCa93454Af3ca794A9,63,0.778056489482895,1.4090909090909092,22,1.01e+20
0x26ec5e4Dd841C533cbba9dB0c68B8Fcd3E613225,306,1.3490805630031555,1.7575757575757576,33,1.01e+20
0x273AEE431c561Ee934fc2d05e4A8e7f35Aafc653,394,1.5011023044897454,2.0869565217391304,23,5.346861579525085e+16
0x27D210900D95A7dEADAF7C2D472415178332f40D,214,2.65480902777147,1.6296296296296295,27,1.51e+20
0x280263d0aC8bF8D067bdE89f60126d4999D6D643,252,0.8247860988423225,1.7142857142857142,21,1.01e+20
0x282cD07bC4283EFFa99743397FbE70d00118Cb1F,240,2.5273522645052715,2.403669724770642,109,1.01e+20
0x28521aeE434b5eeE5C99DD6A42C096d56bD54A1b,251,0.7517293082676684,1.4736842105263157,19,1.01e+20
0x286952AE64cC74Bd161A723886852655963C220B,280,1.091391650175143,1.5789473684210527,19,1.01e+20
0x2970CCA7Eb779b6c485c7C12f69a0d9DCE8658Eb,817,1.0258991840344105,1.9444444444444444,36,6.8628e+18
0x29D7B7aC15A2348378acCabe8f2302b0E8efE285,114,1.4890073395194725,1.8,35,7.101521489583507e+20
0x2BcD8fcc6246194cf6863e80952a915b670Bf10b,25,2.7934571137754802,3.391304347826087,23,1.0023258e+17
0x2C504B523ccD88C776622f81914D1986430B9456,50,1.9735087641318605,3,38,2.13510922e+18
0x2CB18920C2e6104e0584a110c3727f3AF84D8115,122,0.6809176411426013,1.4074074074074074,27,1.01e+20
0x2CdDAbDEba017Ea2D8042c4C445527F4aea46daC,199,0.8997777503361595,1.52,25,1.01e+20
0x2D38fD64bbadD63d0f8AB0AfB9DdDc45564A96e2,159,0.5630450447567474,1.2972972972972974,37,1.01e+20
0x2Eb2F1Af237635dA92Ef0aA7d9a06f475FfAD8e9,191,0.879393730551528,1.4,60,1.01e+20
0x2F11cf5981222C3cC4E14917E386eE5b5AabC00A,187,1.0578717443996903,1.4782608695652173,23,1.01e+20
0x2F498DC787CC669b22ed1Ae752d4c02C20FeABF1,222,1.931889228930727,2.0140845070422535,71,1.01e+20
0x2b27f7c8eD0781929E036Eb1304d4E6F39E6F542,117,2.2641337181996644,2.74468085106383,47,2.001e+21
0x2b37812a590AD9786cC2904d70c790E37b714E24,114,1.0999999999999999,1.7,20,1.01e+20
0x2b8aaF7f1e2436a6eCBE3cBb16Ef4532C37EDe09,362,0.8858603234763213,1.4883720930232558,86,1.01e+20
